,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_raiz4,CloruroSodico_exp,Densidad_raiz4,pH_ident,Sulfatos_raiz4,Alcohol_sqr,CalifProductor_ident,PrecioBotella_raiz4,aleatorio_raiz4,aleatorio2_log,Compra
10,0.5,-0.11,6.1,0.071,0.9978,3.35,0.52,6.8,3,4.23,R,Desc,2.0,7.6923076923076925,0.8752342018629994,0.056827275601610716,2.5501,1.2080919712364773,3.1834110293774844,2.6673887563827936,1.1761102575415536,4.5801,1.2782973296746656,46.241360009999994,3.0001,1.5122635975830463,0.9672916681953495,-2.8649702620257447,0
11,0.6,0.06,50.4,0.069,0.9964,3.3,0.46,3.9,4,4.77,B,Desc,3.0,0.0,0.5506405533140505,0.6281594306573516,2.6501,1.2315064179595772,3.4820051374045864,2.6620593100928,1.1758950571131963,4.530099999999999,1.271054834012655,15.21078001,4.0001,1.549872009255936,0.8615073179411472,-0.4647104933972107,0
12,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,1.0,0.0,0.5144831611048355,0.8643436859324841,2.8101,1.2661568398219183,2.8986870417022224,2.044391111148057,1.1746784917808761,4.3001,1.283058118665015,129.96228001,1.0001,1.5817772234353127,0.8470082872102473,-0.14560254407266454,1
13,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,3.0,0.0,0.4858091467682246,0.5016335475355529,2.2901000000000002,1.2549236329410878,2.975631545637674,2.071141697669002,1.177852102703533,4.4201,1.0333221440900204,96.04196001000001,2.0001,1.4194960311291964,0.8349566688998695,-0.6895713860320968,1
14,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,2.0,0.0,0.7696525377048564,0.3305283753985353,2.4001,1.30610165040493,3.168584115741111,3.4663424878971405,1.1738988291167702,4.4201,1.4007737751789053,38.44124001,3.0001,1.3697419296457427,0.9367067961283895,-1.1065862195703478,1
15,0.17,0.34,15.6,0.044,0.99752,3.06,3.83,9.1,2,1.05,R,**,2.0,0.0,0.9518526662394728,0.4610817459095925,2.2201,1.2673866690002664,3.254605177565235,2.596332831540813,1.1760672269059205,4.2901,1.5637852469448998,82.81182000999999,2.0001,1.1965855704530963,0.9877946885961886,-0.7738382903398193,1
16,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,2.0,0.0,0.2799719556227114,0.10219957171874672,0.0001,1.258701517906969,3.237059512828809,2.57564503042776,1.1755381789184347,3.1801,1.213723991723925,169.00260000999998,2.0001,1.3269175121418062,0.7275470254990196,-2.2792873861275513,1
17,-0.28,-1.2,16.2,0.048,0.9972,3.3,0.52,2.1,1,1.26,R,Desc,1.0,7.6923076923076925,0.2103424055462998,0.6380926484633596,1.7700999999999998,1.0098776809959786,3.258947551841348,2.606738961251562,1.1760180432522993,4.530099999999999,1.2782973296746656,4.410420010000001,1.0001,1.2261169997086925,0.6773941177607976,-0.44902491172566683,0
18,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,3.0,0.0,0.6246492872479636,0.9016027327086418,3.2201,1.2109178044698132,3.1471494180794775,2.552568226539623,1.174909775975747,4.530099999999999,1.2549236329410878,156.25250001,3.0001,1.264923416533519,0.8890905999759714,-0.10340655607287703,1
19,1.035,-1.11,6.0,0.073,1.03291,3.37,0.16,9.9,5,1.31,B,Desc,2.0,7.6923076923076925,0.9088727342849714,0.05212578723325323,3.0851,1.031048794323678,3.182635817356413,2.672728872231369,1.1814689606669229,4.600099999999999,1.232842776912688,98.01198001,5.0001,1.232842776912688,0.9764526075250126,-2.9510775561549107,0
20,1.65,-2.24,9.2,-0.002,0.9893,3.04,0.81,9.7,3,3.2,R,*,3.0,7.6923076923076925,0.7365958626459556,0.47938849160563235,3.7001,0.1,3.2071665933523357,2.4796068019349122,1.1748018603503518,4.270099999999999,1.3116760709385378,94.09194000999999,3.0001,1.4315776439119612,0.9264855697663532,-0.7349153689885486,1
21,0.47,0.3,41.7,-0.058,0.9976,1.33,-0.57,9.4,4,3.28,R,Desc,1.0,7.6923076923076925,0.4004644524168408,0.041011894060009824,2.5201,1.2624456889436466,3.4293011375550924,2.3445652728494855,1.1760795218552127,2.5601000000000003,1.1211691604001983,88.36188001000001,4.0001,1.4383463612179013,0.7956070677622312,-3.1900589439347318,0
22,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,2.0,0.0,0.24864284429060035,0.20385610323678993,2.3901,1.2818728881073684,3.1725061197547215,2.557678471534282,1.1766185835607927,2.6501,1.4043979646720541,299.29346001,2.0001,1.4885813868194322,0.7062961040637139,-1.5895683591652756,1
23,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,2.0,0.0,0.9386232680998106,0.4688536449580303,2.1901,1.0488305171029064,3.1972689973302444,1.7008021623890612,1.180131174596275,4.4901,1.153451798444824,187.69274000999997,2.0001,1.3549107762513617,0.9843451929056484,-0.7571286407215182,1
24,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,3.0,0.0,0.6080758150623728,0.6628914930952772,3.8001,1.269835642138463,3.4932023797884137,2.6780796789989973,1.180901602245143,4.5701,1.414222401124997,182.25270000999998,4.0001,1.274691513076216,0.883135608675239,-0.410906319867211,1
25,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,2.0,0.0,0.2710695788549906,0.5141251807840727,2.4101,1.2865942412251632,2.7572881061229277,1.8572557592487282,1.1765878876948714,5.100099999999999,1.269835642138463,77.44176001000001,2.0001,1.4809436241347165,0.7216977283991655,-0.6649821046328376,1
26,0.19,0.26,54.0,0.039,0.98998,3.32,1.22,12.1,1,2.9,R,**,1.0,7.6923076923076925,0.29383472547657274,0.3313101353021266,2.2401,1.2574460038286217,3.503130491382762,2.583383567520781,1.174906693084807,4.5501,1.3549107762513617,146.41242000999998,1.0001,1.405299642117307,0.7363839747616128,-1.104224953985118,1
27,0.24,2.32,1.4,-0.356,1.03659,3.11,0.39,9.9,2,2.14,M,*,1.0,0.0,0.0609809573502792,0.9994274836052596,2.2901000000000002,1.4613141568202175,3.1463470862848397,1.7403739431622793,1.182026420417889,4.3401,1.2624456889436466,98.01198001,2.0001,1.3311771974739814,0.4973664919950587,-0.00041505239856510205,0
28,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.28,B,*,1.0,0.0,0.2841153762001656,0.72714953628799,2.4101,1.2574460038286217,3.237059512828809,2.61457092019977,1.1760795218552127,4.2301,1.3934398211024863,116.64216001000001,2.0001,1.2288205727444508,0.7302220107255045,-0.31840648842555547,1
29,1.63,1.0,1.9,0.846,0.96939,2.28,0.58,4.0,9,3.23,B,Desc,3.0,7.6923076923076925,0.500072502733592,0.30128860717421635,3.6801,1.3416511385466219,3.1503526244796065,5.789813034742125,1.171719902127424,3.5101,1.2854187742853884,16.00080001,9.0001,1.4341271529430542,0.841016283768323,-1.199163861539738,0
30,0.42,0.32,2.5,0.601,0.99639,3.32,1.99,15.6,4,1.6,R,Desc,1.0,0.0,0.09213095627047407,0.949657851841543,2.4701,1.264923416533519,3.155139190978365,4.531712937864585,1.1758935195422429,4.5501,1.4264373692695203,243.36312001,4.0001,1.269835642138463,0.5512539492979937,-0.05148762699517214,0
31,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,1.0,B,**,2.0,0.0,0.13675497366867673,0.44381114656789855,2.3301000000000003,1.3027224329743134,2.652476342292632,4.145817521915491,1.1760180432522993,5.2101,1.0218016153378022,84.64184000999998,3.0001,1.1892219798129464,0.608351361547804,-0.8120012219939097,1
32,0.28,0.35,2.1,1.197,0.95511,3.26,2.14,9.2,2,1.32,M,Desc,3.0,0.0,0.9465019198586643,0.11000684169021846,2.3301000000000003,1.268612928410997,3.1519505704301434,8.224356035252416,1.1694943676677474,4.4901,1.4391857620917465,84.64184000999998,2.0001,1.2341748042426037,0.9864038662573384,-2.2057815578117186,1
33,0.44,0.22,4.3,-0.91,1.02618,3.26,0.53,6.0,2,1.31,M,*,1.0,7.6923076923076925,0.591584110385108,0.5347021915145365,2.4901,1.2523859599370715,3.1693696819285155,1.0001000050001667,1.1804474299770022,4.4901,1.2794925151991605,36.00120001,2.0001,1.232842776912688,0.8770879548038587,-0.6257507316293087,1
34,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,5.5,2,1.0,M,*,1.0,7.6923076923076925,0.8414621912383968,0.07895545686858729,2.2801,1.277098782283054,3.103752704932358,2.729449662370977,1.1759857631256805,4.7201,1.3215345433772612,30.25110001,2.0001,1.1892219798129464,0.9578248209574429,-2.5368779804690287,1
35,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,3.32,M,*,1.0,0.0,0.8622287072133332,0.40674735069440815,2.2401,1.2758968508762987,2.781998470292743,2.6015306933330664,1.175741270153002,4.3701,1.39620360916732,96.04196001000001,2.0001,1.441695191503619,0.9636789979580678,-0.8991757797783718,1
36,-0.68,2.88,-11.4,0.056,0.99755,4.12,-0.34,9.7,1,1.86,MM,Desc,3.0,0.0,0.10457841915262622,0.42969101240804963,1.3700999999999997,1.5042485821086784,3.03815569453941,2.6276765114756553,1.176071837557093,5.350099999999999,1.1599136040677223,94.09194000999999,1.0001,1.3004549272812724,0.5689591331047924,-0.844322312495329,0
37,-0.06,-1.57,-41.4,0.268,0.99977,2.51,0.49,16.7,3,5.42,R,***,3.0,7.6923076923076925,0.3618349127230217,0.1111211311890763,1.9900999999999998,0.9047631511231614,2.7257433808363936,3.248196762331091,1.1764128753673713,3.7401,1.274691513076216,278.89334001,3.0001,1.591788813006641,0.7756957439961777,-2.1957175816565844,1
38,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.13,M,*,1.0,0.0,0.14065031157392271,0.2989813064995208,2.5901,1.227471019263607,3.4730882837825283,2.729449662370977,1.1761717216862084,5.2301,1.3105668676609192,84.64184000999998,5.0001,1.2080919712364773,0.612631336884822,-1.2068474099885633,1
39,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.1,MM,*,3.0,0.0,0.08665454283974061,0.42652392700062325,2.2901000000000002,1.2315064179595772,3.1495527388178477,5.990051441578013,1.1728170825512185,5.450099999999999,1.0098776809959786,148.84244001,2.0001,1.4229793976797445,0.542892639217491,-0.8517174993410708,1
40,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,2.17,B,****,3.0,0.0,0.27866988054441555,0.6944427799579703,2.2901000000000002,1.3247721945267767,3.185733273790732,2.606738961251562,1.175587422823113,3.6901,1.2818728881073684,110.25210000999999,2.0001,1.3343453316337683,0.726700283564671,-0.3644186634685952,1
41,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,1.49,M,***,2.0,0.0,0.1375850136865443,0.6190880285915551,2.2201,1.2624456889436466,3.514703586492031,2.5704988882244884,1.1751440047123094,4.780099999999999,1.274691513076216,32.49114001,2.0001,1.2561867176898298,0.6092709446713489,-0.47925335038775385,1
42,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,1.35,B,***,2.0,0.0,0.6334967735343022,0.052980237749265746,2.2901000000000002,1.0552714214770904,3.441019080918891,2.5937377964430737,1.1814159002863671,5.2501,1.2206555615733703,102.01202000999999,2.0001,1.2381452207767336,0.8922212081294789,-2.9348669678991084,1
43,2.68,0.33,-16.8,0.288,0.99082,4.14,0.58,16.9,2,1.32,R,***,3.0,7.6923076923076925,0.43623619552737436,0.9209851348833648,4.7301,1.2661568398219183,2.9888275578928853,3.3138146896007488,1.1750361536148595,5.370099999999999,1.2854187742853884,285.61338000999996,2.0001,1.2341748042426037,0.8127993330225436,-0.08214033072862464,1
44,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.65,R,*,2.0,0.0,0.2068885758740745,0.07045990765241605,1.5900999999999998,1.2109178044698132,3.161487585279315,2.7349140242361303,1.1773269902938617,4.8301,1.3508723695134868,331.24364001,4.0001,1.3822168746152528,0.6745989643599937,-2.6504778878423743,1
45,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,2.0,R,Desc,1.0,0.0,0.8828903156383511,0.8586937131996498,3.5001,1.046656943609473,3.1479511367055033,2.5989304629716,1.175732041016185,5.4201,1.0146977763090286,47.611380010000005,5.0001,1.3160849800988454,0.9693996005799734,-0.15215952295862725,1
46,0.04,-0.22,-9.7,0.628,0.99413,3.04,-0.13,11.0,4,4.63,M,Desc,3.0,7.6923076923076925,0.9128463014349804,0.5080471057808131,2.0901,1.1921838028580334,3.0531987018177684,4.655735963728816,1.175545873686483,4.270099999999999,1.1921838028580334,121.00220001,4.0001,1.5403841001305358,0.9775178695135126,-0.676871046588808,0
47,-0.88,0.26,6.8,0.298,0.96461,2.55,0.32,5.6,1,1.39,R,Desc,1.0,7.6923076923076925,0.053812566974917875,0.7561072591177558,1.1701,1.2574460038286217,3.1888217216106014,3.3471190809172064,1.1709763526053745,3.7801,1.2536567227380548,31.361120009999993,1.0001,1.2433804025104693,0.4821133310179057,-0.27936368736764633,1
48,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,3.66,MB,***,2.0,0.0,0.857278038853961,0.32048836894703414,2.2401,1.1229388555249509,3.2341073377922003,2.6198052946698485,1.1761071840813537,5.2501,1.4177446878757824,7.290540010000002,3.0001,1.469260520268874,0.9622930604174559,-1.1374178205365826,1
49,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.46,B,*,1.0,0.0,0.7269880112064613,0.6640367609251903,2.8951,1.2247584794411392,2.902784130293288,2.9508698756886718,1.1778092627048187,4.5501,1.2758968508762987,121.00220001,4.0001,1.2523859599370715,0.9234503857575544,-0.40918053520159053,1
50,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,1.95,M,***,2.0,0.0,0.8075407581796284,0.9475334600180926,2.2301,1.263686374530769,3.3681755666970425,3.0836069516665177,1.1706383318081561,5.0701,1.1802011375878914,116.64216001000001,3.0001,1.3105668676609192,0.9480248043713831,-0.053726768531143415,1
51,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,2.09,M,Desc,1.0,0.0,0.03660007497880824,0.5783421295166113,1.2200999999999997,1.1599136040677223,3.1543429420806492,2.166471917580413,1.1752179425917915,4.4801,1.2341748042426037,108.16208001,1.0001,1.3258461550650469,0.4380256138861347,-0.5473172861340078,1
52,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.98,B,*,1.0,0.0,0.7281903329662074,0.030502954616613343,2.4801,1.268612928410997,3.29517545015983,4.051551928737905,1.1687230697075726,4.600099999999999,1.2758968508762987,216.09294000999998,2.0001,1.3138860735020144,0.923831847443896,-3.4847799433412923,1
53,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,2.02,M,Desc,3.0,0.0,0.043813480436710295,0.19312663531384688,2.2901000000000002,1.263686374530769,3.2363222262387588,2.611957656129378,1.1686243961677365,4.280099999999999,1.2794925151991605,108.16208001,3.0001,1.3182729198565015,0.45806556167965096,-1.6435937097083853,1
54,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,1.13,M,***,2.0,0.0,0.15788004564559777,0.6155301727538863,2.8351,1.3171803128544215,3.0894396316706403,1.4464322396667861,1.1748804875319443,5.0801,1.1067003639378836,123.21222000999998,0.0001,1.2080919712364773,0.6305622319394598,-0.48501538737683286,1
55,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,4.02,R,**,3.0,0.0,0.7039851848861596,0.11712253555381102,2.2001,1.3831626015082448,3.4086587306353042,2.580801475214588,1.1778260932618032,5.950099999999999,1.2673866690002664,158.76252000999997,3.0001,1.4968493465348498,0.9160594773063931,-2.1431903103502217,1
56,-0.2,1.73,2.0,0.124,0.99516,2.69,-1.22,16.0,5,2.89,R,Desc,3.0,7.6923076923076925,0.019004487183191032,0.8661994304487405,1.8500999999999999,1.411563310177679,3.1511519013236557,2.812573779788069,1.1757043523016288,3.9201,0.9820473116354195,256.00320001,5.0001,1.4043979646720541,0.3723250033233873,-0.1434582376130063,0
57,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,2.03,M,**,3.0,7.6923076923076925,0.6295038113706743,0.5658856413569413,1.5500999999999998,1.277098782283054,3.400422906027182,2.55512207147581,1.1724496297074527,5.5701,1.4572918726560882,127.69226001000001,2.0001,1.319362816879954,0.8908124179395592,-0.569084893663123,1
58,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,4.09,M,Desc,2.0,0.0,0.15579401240128243,0.8647890164489775,1.6300999999999999,1.4133377044060271,3.1658300227712846,4.289198990477478,1.1698037093812665,3.2801,1.4194960311291964,139.24236001,3.0001,1.5020402779343849,0.6284717923400748,-0.1450875467126265,1
59,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,1.8,M,***,2.0,0.0,0.28404244543867807,0.915999083820826,3.4501,1.4034945471393172,3.256054566603506,2.6303055022634423,1.1808120244640508,3.2501,1.4025893816633586,84.64184000999998,2.0001,1.2935802771829035,0.7301751803352945,-0.08756793117609259,1
60,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,2.75,R,**,1.0,0.0,0.9267292989107568,0.5200684484687645,2.7701,1.2877664951527747,3.1849597566329026,2.2866777500075157,1.1694787378357012,4.940099999999999,1.3353963787579999,129.96228001,3.0001,1.3915881189563788,0.9812126413971434,-0.653491949155565,1
61,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.14,M,Desc,1.0,0.0,0.5716033535741514,0.9769290858829854,3.0901,1.2485502799234645,3.4391768299019585,2.611957656129378,1.1787949285256043,4.3201,1.4983379804717125,132.25230001,3.0001,1.2095073636525944,0.8695890801523419,-0.02317995533191107,1
62,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,1.56,R,**,2.0,0.0,0.16206007584942983,0.85787290972955,2.2401,1.351885367487823,3.2222170469485936,2.6408477948011853,1.1733560084670487,4.2201,1.153451798444824,86.49186001000001,3.0001,1.264923416533519,0.63468960631213,-0.153115679135909,1
63,1.7,-1.03,3.4,0.048,0.9944,4.25,0.41,9.4,3,1.0,R,**,2.0,0.0,0.1270555153168177,0.45176287346326993,3.7501,1.0488305171029064,3.162278450737498,2.606738961251562,1.175587422823113,5.4801,1.264923416533519,88.36188001000001,3.0001,1.1892219798129464,0.597282719939822,-0.7942491686718528,0
64,0.47,-0.86,-58.1,0.174,0.99514,2.15,0.61,10.9,3,2.75,M,Desc,2.0,7.6923076923076925,0.9043965056540706,0.3406098108417379,2.5201,1.0838711060373245,2.4909526051733373,2.956777521116262,1.1757012756570293,3.3801,1.2889355564861567,118.81218001,3.0001,1.3915881189563788,0.9752483975127448,-1.0765552604436595,0
65,0.22,1.22,-50.4,0.26,1.03038,2.62,2.1,11.0,1,3.01,M,Desc,2.0,0.0,0.8707386740025579,0.487190169879823,2.2701000000000002,1.3638674436125153,2.6071182449797266,3.2223148539028528,1.1810852488638288,3.8501000000000003,1.4358193013846372,121.00220001,1.0001,1.4151054406307986,0.9660474791457956,-0.7187774065758623,0
66,0.39,0.1,1.7,0.075,0.99581,3.09,0.43,9.7,4,5.21,M,Desc,3.0,0.0,0.3904337712534274,0.5396405173106772,2.4401,1.2368259941281783,3.148752243255213,2.6780796789989973,1.1758043301052539,4.3201,1.2673866690002664,94.09194000999999,4.0001,1.5786092686613418,0.7905802558490354,-0.6165601585654719,0
67,0.22,1.87,59.8,0.038,1.03646,4.23,0.42,8.7,2,1.0,B,**,3.0,7.6923076923076925,0.2773840289687318,0.4015383979107382,2.2701000000000002,1.4238462544469102,3.53638269404932,2.580801475214588,1.1820067409815558,5.460100000000001,1.2661568398219183,75.69174000999999,2.0001,1.1892219798129464,0.725861176958208,-0.9120598247246714,1
68,-0.73,1.41,4.0,0.595,0.99787,3.47,0.47,11.8,5,1.0,B,**,1.0,16.666666666666664,0.3939618336133257,0.0745935581133389,1.3200999999999998,1.3822168746152528,3.167011228202671,4.504604068173031,1.1761210144625087,4.7001,1.2722705276128494,139.24236001,5.0001,1.1892219798129464,0.7923592427563351,-2.593591240977156,1
69,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,1.3,M,**,2.0,0.0,0.6774598209925121,0.34029094429429885,2.3401,1.2722705276128494,3.1447405788052,1.297059786159305,1.1811322850415815,4.5100999999999996,1.2587015179069687,331.24364001,1.0001,1.2315064179595772,0.9073084628856947,-1.077491429407468,1
70,0.38,0.26,8.0,0.035,0.97228,3.18,0.47,13.6,2,1.27,M,Desc,2.0,7.6923076923076925,0.733001705368454,0.8855902405561138,2.4301,1.2574460038286217,3.1980336191567154,2.573070672790681,1.1721687683059197,4.4101,1.2722705276128494,184.96272001,2.0001,1.227471019263607,0.9253536462557963,-0.121323029538712,1
71,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,3.95,MM,**,1.0,0.0,0.7083834485725532,0.8055934562618177,3.3001,1.3716833988698627,3.387955820154181,2.5627989472462374,1.1753657764991245,5.1501,1.0241369636021262,28.091060009999996,2.0001,1.4916038412876078,0.9174865154135391,-0.21598050928913928,1
72,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,B,Desc,1.0,0.0,0.7801309886091893,0.7716885817531811,4.060099999999999,1.3599085401587048,2.758479929759253,1.8665652924832055,1.1770066790136569,3.7601,1.303851759791075,302.76348000999997,4.0001,1.1892219798129464,0.9398779788958719,-0.25897005986948385,1
73,0.52,0.36,1.5,-0.105,0.98976,4.31,1.29,18.3,1,1.04,R,***,1.0,7.6923076923076925,0.5472144757051135,0.8227857512692958,2.5701,1.269835642138463,3.1471494180794775,2.2369201796537244,1.1748727796826688,5.540099999999999,1.3618923074518512,334.89366001,1.0001,1.1951237142160949,0.8601646280490516,-0.1948679732811849,1
74,0.25,0.28,7.7,0.871,1.045,1.85,1.08,9.4,2,3.49,R,***,3.0,7.6923076923076925,0.6857772939148309,0.9129312413850713,2.3001,1.2599532861839393,3.1957381058521364,5.936382849530532,1.183297445218724,3.0801000000000003,1.3406147455887614,88.36188001000001,2.0001,1.4556735919735702,0.9100797229282717,-0.09092215064756137,1
75,1.19,-0.09,2.2,0.219,0.99486,3.31,0.75,12.6,5,2.21,M,Desc,3.0,0.0,0.4093781009021702,0.6499998250209377,3.2401,1.2109178044698132,3.1527486328762078,3.092871662639444,1.1756582000963034,4.5401,1.3049781597216514,158.76252000999997,5.0001,1.3385347189289332,0.7999954863463038,-0.43054082979856084,0
76,-0.93,0.53,61.7,-0.024,1.00314,2.94,0.35,9.4,2,1.62,M,Desc,3.0,7.6923076923076925,0.05245045489052347,0.588497472927913,1.1200999999999997,1.2901014454400852,3.5470743950551795,2.4256511407593875,1.1769300107433758,4.1701,1.2574460038286217,88.36188001000001,2.0001,1.2722705276128494,0.47904534664624665,-0.5299149663313051,1
77,0.24,1.27,10.3,0.18,0.96793,3.49,0.54,8.1,4,3.49,R,Desc,3.0,16.666666666666664,0.8294279990266551,0.9950236018446532,2.2901000000000002,1.3687680911517008,3.2154704875635067,2.974571514842188,1.1714929430125227,4.7201,1.2806843607776264,65.61162001,4.0001,1.4556735919735702,0.9543825857362314,-0.004830496120336396,1
